"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Zeeland (PV)";"     984"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Zeeland (PV)";"     819"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Zeeland (PV)";"    1004"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Zeeland (PV)";"     868"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Zeeland (PV)";"     884"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Zeeland (PV)";"    1262"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Noord-Brabant (PV)";"   18864"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Noord-Brabant (PV)";"   19237"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Noord-Brabant (PV)";"   21052"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Noord-Brabant (PV)";"   19179"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Noord-Brabant (PV)";"   15059"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Noord-Brabant (PV)";"   12149"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Noord-Brabant (PV)";"   10910"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Noord-Brabant (PV)";"   10866"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Noord-Brabant (PV)";"   10437"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Noord-Brabant (PV)";"   10944"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Noord-Brabant (PV)";"   13826"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Limburg (PV)";"   10449"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Limburg (PV)";"    9267"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Limburg (PV)";"    9521"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Limburg (PV)";"    8724"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Limburg (PV)";"    6764"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Limburg (PV)";"    5828"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Limburg (PV)";"    5011"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Limburg (PV)";"    5080"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Limburg (PV)";"    4232"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Limburg (PV)";"    4217"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Limburg (PV)";"    5168"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Niet in te delen (PV)";"       ."
