"Soort misdrijf";"Perioden";"Regio's";"Internetaangiften (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Noord-Brabant (PV)";"    8519"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Noord-Brabant (PV)";"    7822"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Noord-Brabant (PV)";"    8533"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Noord-Brabant (PV)";"    8650"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Noord-Brabant (PV)";"    9264"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Noord-Brabant (PV)";"   12017"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Limburg (PV)";"    7073"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Limburg (PV)";"    6527"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Limburg (PV)";"    6641"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Limburg (PV)";"    6238"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Limburg (PV)";"    4801"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Limburg (PV)";"    3640"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Limburg (PV)";"    3115"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Limburg (PV)";"    3592"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Limburg (PV)";"    3329"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Limburg (PV)";"    3390"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Limburg (PV)";"    4199"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Niet in te delen (PV)";"       ."
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Niet in te delen (PV)";"       ."
